#wylie	pt	en
su toSh+yo	sutokhayo	sutokhayo
su tsa	sutsa	sutsa
swa b+hA wa	sobhava	sobhava
swa b+ha wa	sobhava	sobhava
swA hA	soha	soha
swA ha	soha	soha
swa hA	soha	soha
swA sti	svasti	svasti
swa sti	svasti	svasti
swasti	svasti	svasti
ta d+ya thA	teyatha	teyatha
ta khaM	takham	takham
ta krita	takrita	takrita
tA re	tare	taré
ta thA ga ta	tathagata	tathagata
Ta ya	taya	taya
tad+ya thA	teyatha	teyatha
tad+ya tha	teyatha	teyatha
te no pa	tenopa	tenopa
te ShAny+tsa	teshan tsa	teshan tsa
tha mi dad pa	thamidepa	thamidepa
thig le	thikle	thiklé
thom me ba	thommewa	thommewa
ti Sh+tha	tishtha	tishtha
ti thi	tithi	tithi
tiSh+Tha	tishta	tishta
traT	tre	tré
tsakra	tsatra	tsatra
tsaN+Da	tsenda	tsenda
tsaN+Da lI	tsendali	tsendali
tshe 'dzin	tsendzin	tsendzin
tsin+ta	tsinta	tsinta
tsit+ta	tsitta	tsitta
tsit+taM	tsittam	tsittam
tsi'u dmar po	tsiu marpo	tsiu marpo
tut+tA ra	tuttara	tuttara
tut+tA re	tuttare	tuttaré
u rgyan	urgyen	urgyen
u Ta	uta	uta
u tsud+ma	utsüma	utsüma
u tsuSh+ma	utsukma	utsukma
ud+ga te	udgate	udgaté
ur+Na	urna	urna
ush+tsi Ta ya	utsitaya	utsitaya
ut+pal	utpal	utpal
utsatsh+ShiT	utsita	utsita
uts+tshiSh+Ta	utsita	utsita
wA dI	vadi	vadi
wA gi	vagi	vagi
wa k+ka	waka	waka
wA rA hI	varahi	varahi
wA ra hi	varahi	varahi
wa ra hi	varahi	varahi
wa ra NA si	varanasi	varanasi
wAka	waka	waka
wAk+ka	waka	waka
wak+ka	waka	waka
ya mAn+ta ka	yamantaka	yamantaka
yak+sha	yaksha	yaksha
yang le ber	yangle wer	yanglé wer
ye she	yeshe	yeshé
yum chen mo	yum chenmo	yum chenmo
zhal mjal	zhal jal	zhal jal
zhe 'dod	shendö	shendö
zung du 'jug pa	zungdu jukpa	zungdu jukpa
bdag	da	da
phyag 'tshal	chatsal	chatsal
